Firma,Besøksadresse,P.nr,Sted,Postadresse,P.nr,Poststed,Telefon,Kontaktperson 1,Mobil 1,Epost 1,Åpningstider
Aasen Bil og Landbruk as,Søre Gvammen,3630,Rødberg,,,,32 74 13 10,Harald Åsen,,post@aasenbiloglandbruk.no,
Agder Karosseri og Billakkering AS,Grøm Næringspark 15,4887,Grimstad,,4887,Grimstad,37 04 35 11,Andreas Igland,93 64 52 37,andreas@agderkarosseri.no,man-fre 07:30 - 16:30
Aunan´s Bilverksted,,7357,Skaun,,7357,Skaun,72 86 40 01,Aasmund Aunan,,aunan@combitel.no,man-fre 07:30 - 16:00
Auto E14 as,Moksnes,7500,Stjørdal,Postboks 414,7501,Stjørdal,74 82 16 63,Håkon Grendal,97 18 99 15,post@autoe14.no,man-fre 08:00 - 16:00
Auto Nord as,Storgt 79,9406,Harstad,,9406,Harstad,77 00 07 80,Ole Johnny B. Pettersen ,91 63 62 44,salgsavdeling@autonordas.no,man-fre 08:00 - 16:00
Autocenteret Fjeldstad A/S,Hvittingfossveien 25,3080,Holmestrand,,3080,Holmestrand,33 06 67 75 ,Henning Olafsen,90 65 77 24,henning.olafsen@autocenteret.no,man-fre 08:00 - 16:00
Autokon AS,Vikaveien 50,8200,Fauske,Postboks 17,8202,Fauske,75 60 23 00,Kai Inge Sletvold,91 78 16 47,post@autokon.no,man-fre 08:00 - 16:00
Autokontroll AS,Slemmestadveien 14,3440,Røyken,,3440,Røyken,31 28 14 80,Bjørn Rødfjell,41 47 83 30,bjorn@autokontroll.no,man-fre 08:00 - 16:00
Autosalg as,Storetveitveien 58,5072,Bergen,Postboks 104 Minde,5821,Bergen,55 36 10 00,Bård Lie,93 00 90 03,baard.lie@autosalg.no,man-fre 07:30 - 16:30 
Autosentrum as,Fillan,7240,Hitra,,7240,Hitra,72 44 41 00,Stig Wrålsen,91 57 20 62,post@autohitra.no,man-fre 08:00 - 16:00
Autoservice A/S,Osternes,5419,Fitjar,,5419,Fitjar,53 49 71 21,Nils Arne Tufteland,41 65 94 68,autosfitjar@gmail.com,man-tor 08:00 - 15:00
Autostil Verksted AS,Håkon Magnussonsgt.9,7041, Trondheim ,,7041, Trondheim ,73 51 26 31,Jo Sirnes,92 66 43 00,post@autostil.no,man-fre 07:30 - 15:30
Autoteam as,Totlandsveien 8,5224,Nesttun,,5224,Nesttun,55 38 04 44,Aivon Sidney Baretto,91 10 85 69,post@autoteambergen.no,man-fre 07:00 - 15:30 tor 21:00
Autoteknikk Jessheim AS,Energiveien 9,2069,Jessheim,,,,63 97 36 11 ,Ketil Medlien,91 51 51 02,bilmegleren.jessheim@online.no,
Autotuning Import as,Mosseveien 60,1640,Råde,,1640,Råde,69 28 59 55,Kjetil Solli,91 60 33 44,kjetil@autotuning-import.no,man-fre 07:30 - 16:00
Autovie as,Kloppaveien 16,1470,Lørenskog,,,,67 98 17 00,Ronald Hansen,91 18 62 19,ronald@autonova.no,man-fre 07:00-17:00
BCB Bil & Deler as,Strandvegen 16,2380,Brumunddal,Postboks 230,2381,Brumunddal,62 36 21 00,Roger Havik,95 14 16 10,info@bcb.no,man-fre 08:00 -17:00
Bentro Bil as,Rombaksveien E-6 45,8517,Narvik,,8517,Narvik,76 92 22 50,Trond Frantzen,90 64 74 32,firmapost@bentro.no,man-fre 08:00 - 16:00
Berg Service AS,,8920,Sømna,,8920,Sømna,75 02 84 77,Runar Sund,95 17 76 42,runar@bergservice.no,man-fre 08:00 - 16:00 
Bergseng Bilverksted,Landåsveien 701,2861,Landåsbygda,,2861,Landåsbygda,61 12 67 21,Harald Bergseng,90 78 84 99,haraberg@bbnett.no,man-fre 07:00 - 15:30
Berkåk Auto as,Industriveien 4,7391,Rennebu,,7391,Rennebu,72 42 62 00,Omar Gunnes,92 05 45 69,omargunnes@yahoo.no,man-fre 08:00 -16:00
Bil & Anlegg AS,Meberget,8215,Valnesfjord,,8215,Valnesfjord,75 60 00 00,Tor Jan Løkås,95 76 93 77,post@75600000.no,man-fre 07:30 - 15:30 
Bil & Dekkservice as,J. M. Johansensvei 189,8340,Stamsund,,8340,Stamsund,76 08 94 00,Jan-Ivar Busch Pedersen,90 56 09 23,Post@Bil-Dekkservice.no,man-fre 07:00 - 15:30
Bil og Landbruk AS,Bergårdsmyra,7590,Tydal,,7590,Tydal,73 81 54 80,Jan Ole Østby,41 60 53 22,tydalbil@frisurf.no,man-fre 07:30 - 15:30
Bilhjelp Trondheim AS,Terminalen 1,7080,Heimdal,,7080,Heimdal,930 58 400,Petter Langørgen,91 34 63 00,bilhjelp@online.no,man-fre 08:00 - 16:00 
