Alfa romeo,Bilmerke,,,,,,
Brera,,,,,,,
1750 TBi,147kW,200hk,169kW,230hk,320Nm,375Nm,
2.0 JTD M-Jet,125kW,170hk,168kW,210hk,360Nm,420Nm,
2.4 JTD M-Jet 16V,147kW,200hk,178kW,242hk,400Nm,490Nm,
 , ,, ,, , ,
Giulietta,,,,,,,
1.4tjet,88kW,120hk,111kW,151hk,200Nm,260Nm,
1.4tjet,125kW,170hk,149kW,203hk,250Nm,300Nm,
1750 TBi,173kW,235hk,195kW,265hk,340Nm,410Nm,
"1,6 JTD M-Jet",77kW,105hk,96kW,130hk,320Nm,400Nm,
2.0 JTD M-Jet,100kW,136hk,168kW,210hk,350Nm,460Nm,
2.0 JTD M-Jet,103kW,140hk,129kW,177hk,320Nm,415Nm,
2.0 JTD M-Jet,125kW,170hk,168kW,210hk,360Nm,460Nm,
 , ,, ,, , ,
MiTo,,,,,,,
1.4tjet,88kW,120hk,111kW,151hk,200Nm,260Nm,
1.4tjet,90kW,135hk,125kW,170hk,206Nm,268Nm,
1.4tjet,114kW,155hk,137kW,185hk,230Nm,287Nm,
"1,6 JTD M-Jet",77kW,105hk,96kW,130hk,320Nm,400Nm,
 , ,, ,, , ,
145,,,,,,,
1.9 JTD,77kW,105hk,100kW,136hk,255Nm,290Nm,
 , ,, ,, , ,
146,,,,,,,
1.9 JTD,77kW,105hk,100kW,136hk,255Nm,290Nm,
 , ,, ,, , ,
147,,,,,,,
1.9 JTD 8V,74 kW,100hk,99 kW,135hk,200Nm,270Nm,
1.9 JTD 8V,81kW,110hk,103kW,140hk,275Nm,330Nm,
1.9 JTD 8V,85kW,115hk,103kW,140hk,275Nm,330Nm,
1.9 JTD M-Jet 16V,103kW,140hk,125kW,170hk,305Nm,360Nm,
1.9 JTD M-Jet 16V,110kW,150hk,136kW,185hk,305Nm,385Nm,
 , ,, ,, , ,
156,,,,,,,
1.9 JTD 8V,77kW,105hk,100kW,136hk,255Nm,290Nm,
1.9 JTD 8V,81kW,110hk,103kW,140hk,270Nm,330Nm,
1.9 JTD 8V,85kW,115hk,103kW,140hk,275Nm,330Nm,
1.9 JTD M-Jet 16V,103kW,140hk,125kW,170hk,320Nm,385Nm,
1.9 JTD Q4,110kW,150hk,132kW,180hk,305Nm,360Nm,
2.4 JTD,100kW,136hk,122kW,166hk,310Nm,355Nm,
2.4JTD 10V,103kW,140hk,125kW,170hk,304Nm,380Nm,
2.4JTD 10V,110kW,150hk,132kW,180hk,304Nm,380Nm,
2.4 JTD M-Jet 20V,129kW,175hk,153kW,208hk,385Nm,410Nm,
 , ,, ,, , ,
159,,,,,,,
1750 TBi,147kW,200hk,169kW,230hk,320Nm,375Nm,
1.9 JTS,118kW,160hk,127kW,173hk,190Nm,217Nm,
1.9 JTD M-Jet 8V,88kW,120hk,112kW,152hk,280Nm,365Nm,
1.9 JTD M-Jet 16V,110kW,150hk,136kW,185hk,320Nm,390Nm,
2.0 JTD M-Jet,100kW,136hk,168kW,210hk,350Nm,460Nm,
2.0 JTD M-Jet,125kW,170hk,168kW,210hk,360Nm,460Nm,
2.4 JTD M-Jet 16V,147kW,200hk,178kW,242hk,400Nm,490Nm,
 , ,, ,, , ,
166,,,,,,,
2.4 JTD,100kW,136hk,122kW,166hk,310Nm,355Nm,
2.4JTD 10V,103kW,140hk,125kW,170hk,304Nm,380Nm,
2.4JTD 10V,110kW,150hk,132kW,180hk,304Nm,380Nm,
2.4JTD 20V,110kW,150hk,136kW,185hk,305Nm,385Nm,
2.4 JTD M-Jet 20V,129kW,175hk,153kW,208hk,385Nm,410Nm,
 , ,, ,, , ,
GT,,,,,,,
1.9 JTD M-Jet 8V,110kW,150hk,136kW,185hk,305Nm,385Nm,
1.9 JTD M-Jet 16V,110kW,150hk,136kW,185hk,305Nm,385Nm,
 , ,, ,, , ,
GTV,,,,,,,
2.0TS,110kW,150hk,121kW,165hk,Nm,+24Nm,
2.0T,150kW,204hk,169kW,230hk,310Nm,350Nm,
 , ,, ,, , ,
GTV,,,,,,,
1.9 JTD M-Jet 16V,103kW,140hk,125kW,170hk,320Nm,385Nm,
2.4 JTD M-Jet 20V,129kW,175hk,153kW,208hk,385Nm,410Nm,
 , ,, ,, , ,
,,,,,,,
,,,,,,,
Audi,bilmerke,,,,,,
80,,,,,,,
1.9 TDI (92-95),66kW,90hk,88kW,120hk,182Nm,248Nm,
1.9 TDI 94-,66kW,90hk,88kW,120hk,202Nm,261Nm,
 , , , , , , ,
100,,,,,,,
2.5 TDI (92-95),85kW,115hk,110kW,150hk,265Nm,303Nm,
2.5 TDI,103kW,140hk,128kW,174hk,290Nm,330Nm,
 , , , , , , ,
A1,,,,,,,
1.2 TFSI,63kW,86hk,90kW,122hk,165Nm,191Nm,
1.2 TFSI,77kW,105hk,97kW,132hk,175Nm,218Nm,
1.6 TDI,66kW,90hk,99kW,135hk,230Nm,310Nm,
1.6 TDI,77kW,105hk,99kW,135hk,250Nm,310Nm,
 , , , , , , ,
A2,,,,,,,
1.4i FSI,55kW,75hk,64kW,88hk,126Nm,141Nm,
1.6 FSI,81kW,110hk,92kW,125hk,155Nm,171Nm,
1.2PD etter (01-05),45kW,61hk,64kW,87hk,140Nm,185Nm,
1.4 TDI etter 2000,55kW,75hk,74kW,100hk,195Nm,245Nm,
1.4 TDI etter 2001,66kW,90hk,88kW,120hk,230Nm,288Nm,
 , , , , , , ,
S2 & RS2,,,,,,,
S2 230hk,169kW,230hk,205kW,279hk,350Nm,420Nm,
RS2 316hk,232kW,316hk,257kW,355hk,410Nm,465Nm,
 , , , , , , ,
A3,,,,,,,
1.4 TFSI (09-..),92kW,125hk,110kW,149hk,200Nm,247Nm,
1.6 FSI,85kW,115hk,95kW,129hk,155Nm,174Nm,
1.8 Turbo 97-03,110kW,150hk,140kW,195hk,210Nm,265Nm,
1.8 Turbo 98-03,110kW,150hk,140kW,195hk,210Nm,265Nm,
1.8 Turbo 99-03,132kW,180hk,154kW,225hk,235Nm,295Nm,
2.0 FSI,110kW,150hk,125kW,170hk,200Nm,225Nm,
2.0 TFSI Turbo,147kW,200hk,184kW,250hk,280Nm,352Nm,
3.2 VR6,177kW,241hk,198kW,270hk,320Nm,358Nm,
1.6 TDI 5gir (2009-..),66kW,90hk,90kW,122hk,230Nm,275Nm,
1.6 TDI,77kW,105hk,97kW,132hk,250Nm,300Nm,
1.9 TDI før 2001,66kW,90hk,85kW,120hk,210Nm,251Nm,
1.9 TDI etter 2001,66kW,90hk,85kW,120hk,210Nm,251Nm,
1.9 TDI,74kW,100hk,99kW,135hk,240Nm,300Nm,
1.9 TDI før 2005 EDC15,77kW,105hk,103kW,140hk,250Nm,310Nm,
1.9 TDI etter 2005 EDC16,77kW,105hk,103kW,140hk,250Nm,310Nm,
1.9 TDI før 2001,81kW,110hk,106kW,148hk,235Nm,288Nm,
1.9 TDI etter 2001,81kW,110hk,106kW,148hk,235Nm,288Nm,
1.9 TDI før 2005,85kW,115hk,110kW,150hk,285Nm,340Nm,
1.9 TDI fra 2005,85kW,115hk,110kW,150hk,285Nm,340Nm,
1.9 TDI,96kW,130hk,121kW,165hk,310Nm,380Nm,
2.0 TDI,103kW,140hk,136kW,185hk,320Nm,410Nm,
2.0 TDI,120kW,163hk,147kW,200hk,350Nm,420Nm,
2.0 TDI,125kW,170hk,150kW,205hk,350Nm,420Nm,
 , , , , , , ,
S3,,,,,,,
S3 1.8t 210hk (99-03),154kW,210hk,177kW,240hk,270Nm,350Nm,
S3 1.8t 225 hk (01-04),165kW,225hk,184kW,250hk,280Nm,330Nm,
S3 2.0 TFSI,195kW,265 hk,229kW,311hk,350Nm,410Nm,
 , , , , , , ,
A4,,,,,,,
1.8 TFSI turbo (2008-....) steg 1,88kW,120hk,118kW,160hk,230Nm,250Nm,
1.8 TFSI turbo (2008-....) steg 2,88kW,120hk,155kW,210hk,230Nm,310Nm,
1.8 Turbo,110kW,150hk,140kW,195hk,210Nm,265Nm,
1.8 TFSI turbo (2008-....),118kW,160hk,154kW,210hk,250Nm,310Nm,
1.8 Turbo,120kW,163hk,152kW,207hk,225Nm,295Nm,
1.8 Turbo,132kW,180hk,155kW,210hk,235Nm,295Nm,
1.8T 20V,140kW,190hk,162kW,220hk,235Nm,295Nm,
2.0 i,96kW,130hk,107kW,145hk,195Nm,218Nm,
2.0 TFSI,125kW,170hk,154kW,210hk,280Nm,370Nm,
2.0 TFSI Turbo (2008-....),132kW,180hk,158kW,215hk,320Nm,385Nm,
2.0 TFSI Turbo,147kW,200hk,184kW,250hk,280Nm,352Nm,
2.0 TFSI Turbo (2008-....),155kW,211hk,191kW,260hk,350Nm,425Nm,
2.0 TFSI Turbo DTM,162kW,220hk,184kW,250hk,300Nm,350Nm,
"2,4 bensin (97-99)",120kW,163hk,132kW,179hk,230Nm,255Nm,
"2,4 bensin (99-04)",120kW,163hk,132kW,179hk,230Nm,255Nm,
"2,4 bensin (04-..)",130kW,177hk,146kW,198hk,230Nm,255Nm,
1.6 TDI 5gir (2009-..),66kW,90hk,90kW,122hk,230Nm,275Nm,
1.6 TDI,77kW,105hk,97kW,132hk,250Nm,300Nm,
1.9 TDI før 2001,66kW,90hk,85kW,120hk,210Nm,251Nm,
1.9 TDI etter 2001,66kW,90hk,85kW,120hk,202Nm,251Nm,
1.9 TDI,74kW,100hk,99kW,135hk,240Nm,300Nm,
1.9 TDI,77kW,105hk,103kW,140hk,250Nm,310Nm,
1.9 TDI før 2001,81kW,110hk,106kW,148hk,235Nm,288Nm,
