A content manager allows you to add content to whatever page you would like to add content to. It supports text, images, and even basic HTML, its like word for web.;-;En innhold manager gir deg muligheten til å legge til innhold til hvilken som helst side. Den støtter tekst, bilder, og enkel html.
A description to the image;-;En beskrivelse av bildet
A news application makes you push news to your WebShop. And share to subscribers and push to facebook if the Facebook application has been added.;-;En nyhetsapplikasjon gjør det enkelt for deg å legge inn nyheter på din webshop. Del så deretter dine nyheter med de som har abbonneere
A single users browsing activity.;-;En enkels bruker browser aktivitet.
A topmenu enables you to display top menu entries;-;En topmeny gir deg muligheten til å vise topp meny valg.
Accessed when;-;Aksesert siden:
Action;-;Handling
Activity;-;Aktivitet
Add Menu entry;-;Legg til et menyvalg.
Add a product to a page, add description, price, title, and other attributes. And you are ready to start selling the product. Combine it with a left menu, a category list to create a flexible and powerful webshop.;-;Legg til ett produkt, legg til en beskrivelse, pris, og andre atributter. Deretter er du klar til å selge produktet. Kombiner det med en venstre meny, en kategory liste for å lage en fleksibel og kraftful webshop.
Add new;-;Legg til ny
Add sub entry;-;Legg til undermeny
Add this application and get started adding content to your page.;-;Legg til denne applikasjonen og kom i gang med å legge inn innhold.
Add this contact form, configure it, and you are ready to start receiving questions and feedback from your users per email.;-;Legg til dette kontakt skjemaet, konfigurer det, og du er da klar til å motta spørsmål og tilbakemeldinger fra dine kunder per epost.
Add this left or right column at a product, and a new related products will be displayed.;-;Legg denne til i venstre eller høyre kolonne, og relaterte produkter vil automatisk bli vist.
Additional domain names;-;Ekstra domenenavn
Additional info;-;Ekstra informasjon
Admin functions;-;Admin funksjoner
Administrators only;-;Kun tilgjengelig for administratorer.
Advanced Options;-;Avanserte egenskaper
All fields need to be filled before you continue;-;Alle felter må fylles ut før du kan fortsette.
All page views listed;-;Alle sidevisninger listet
Anonymous user;-;Anonym bruker
Answering your customers questions, means more sale. By adding this excellent chat application, you can answer on request at any time from you mobile devices or your stationary computer.;-;Å svare dine kunder betyr mer salg. Ved å legge til denne chat applikasjonen kan du gjøre nettopp det.
Application preview;-;Forhåndsvisning av applikasjon
Applications;-;Applikasjoner
Attendees;-;Påmelte
Background color;-;Bakgrunsfarge
Banner Slider;-;Banner slider
Base color;-;Base farge
Base text color;-;Base tekst farge
Booking;-;Booking
Button color;-;Knappfarger
Button text color;-;Tekst på knapper
By adding this application you will see some static over your sms usage.;-;Ved å legge til denne applikasjonen vil du se statistikk over sms bruk.
By clicking the button above you will be able to add an application to this area.;-;Ved å trykke på knappen over vil du få muligheten til å legge til en applikasjon til dette området.
By turning on this feature you will set this application to be visible on all pages.;-;Ved å skru på denne funksjonen vil denne applikasjonen bly synlig på alle sider.
Category list;-;Kategori liste
Change image;-;Endre bilde
Chat;-;Chat
Click create application and add your first product to the product list to get your product list up and running;-;Trykk opprett applikasjon og legg til ditt første produkt for å få denne produkt listen i gang.
Click on create application to get started, you will then get an input form to start filling out your product.;-;Trykk på opprett applikasjon for å komme i gang, du vil da få ett skjema for å fylle inn produktinformasjon.
Click on the chat icon in the top menu and start translating.;-;Trykk på chat iconet i toppen menyen for å starte oversettingen.
Click on the icon in the top admin menu under category More to gain access to your reporting page.;-;Trykk på ikonet i toppmenyen under kategorien "Mer" for å få tilgang til rapportsiden.
Click the create application button and you will automatically get a form which sends you email directly to your email address when someone use this form.;-;Trykk på opprett applikasjons knappen og du vil automatisk få ett skjema hvor epost blir sendt til deg automatisk når noen bruker den.
Click to add application;-;Legg til ny applikasjon
Column;-;Kolonne
Combine product list;-;Kombiner produktliste
Configure footer;-;Konfigurer footern
Confirm delete;-;Bekreft sletting
Connected;-;Tilkoblet
Connected to product;-;Koble til ett produkt
Contact form;-;Kontaktskjema
Contact information;-;Kontaktinformasjon
Content Manager;-;Innhold manager
Count;-;Opptelling
Create application;-;Opprett applikasjon
Create categories and add a list of products to the category, attach images to the categories, and name them as you want.;-;Opprett kategorier og legg til en liste av produkter for kategorien, legg til bilder til dine kategorier og navgi de med hva du vil.
Create new category;-;Lag en ny kategori
Create news;-;Opprett nyhet
Create shop;-;Opprett butikk
Create this application and get started, you will automatically be shown the editors view for this application to start adding your text.;-;Opprett denne applikasjonen og kom i gang, du vil automask bli vist editor valgene for å legge til tekst.
Create this application and start book events to given dates.;-;Opprett denne applikasjonen og start å booke eventer på gitte datoer.
Create this application and start showing events on given dates.;-;Opprett denne applikasjonen og begynn å vis eventer på gitte datoer.
Created when;-;Opprettet når
Delete;-;Slett
Delete selected application;-;Slett valgte applikasjon
Delete this image;-;Slett dette bildet.
Deleted app;-;Slettet app
Description to image:;-;Beskrivelse til bildet
Domain name;-;Domenenavn
Domain name configuration;-;Domenekonfigurasjon
Editors and adminstrators only;-;Editorer og administrator kun
