###### framework ######
2015;-;
2016;-;
2017;-;
2018;-;
2019;-;
2020;-;
2021;-;
2022;-;
A application for selecting applications;-;
A autogenereted reference number that can be used to identify this user.;-;
A booking application, used with the Calendar Application;-;
A dashboad application;-;
A description to the image;-;
A few settings for your ecommerce solution;-;
A news application makes you push news to your WebShop. And share to subscribers and push to facebook if the Facebook application has been added.;-;
A password used when communicating with the api for subscriptions / saved cards;-;
A quick tip; when the mouse is hovering the image, you will see a settings box where you can configure the image.;-;
A single users browsing activity.;-;
A unique identifier for the product's variations.;-;
A unique identifier for the product.;-;
A user can only be assigned to one usergroup;-;
Above;-;
Accept;-;
Access Control;-;
Access code;-;
Access group;-;
Access has been removed;-;
Access log;-;
Access token;-;
Accessed when;-;
Account number;-;
Account suspended;-;
Account type;-;
Accounting;-;
Accounting Account;-;
Accounting ID;-;
Accounting ProductId;-;
Accounting details;-;
Accounting email address;-;
Accounting product id.;-;
Accounting transfer;-;
Accounting user id;-;
Acivated modules;-;
Action;-;
Activate;-;
Activate / Deactivate pdf button;-;
Activate / deactivate the applications you would like your customers to have access to.;-;
Activate news feed;-;
Activate pagescroll for this page;-;
Activate permission filter;-;
Activate this if this if food, used for communication with the kitchen.;-;
Activate this if you wish to some files in alpha sorting descending.;-;
Activate this option if you wish to provide your customer with Fjincadeau payment;-;
Activate this option if you wish to provide your customer with Mister Cash payment;-;
Activate this option if you wish to provide your customer with Podium payment;-;
Activate this option if you wish to provide your customer with Sofort Banking payment;-;
Activate this option if you wish to provide your customer with eBill payment;-;
Activate this option if you wish to provide your customer with iDeal payment;-;
Activate this to make sure new users that register adds group references.;-;
Activate this to show tabs for different modes.;-;
Activated;-;
Activated applications;-;
Activating this on the admin allows him/her to change the layout on the page, this requires more advance knowledge of the GetShop framework.;-;
Active mouseover effect;-;
Activity;-;
Add / Remove;-;
Add / Remove credit;-;
Add / Remove products to this list;-;
Add a comment to user;-;
Add a conference room;-;
Add a content to this area;-;
Add a language;-;
Add a new boundary;-;
Add a new marker;-;
Add a shoppingcart to your header and it will be visible for you customers;-;
Add addon;-;
Add and remove users from this group.;-;
Add application;-;
Add as related;-;
Add comment;-;
Add content to this cell;-;
Add coupons;-;
Add food;-;
Add image;-;
Add item;-;
Add more addons;-;
Add more attraction to your website by activeting our marketing module;-;
Add more coupons;-;
