###### framework ######
* Can pay with Visa/MasterCard trough PayPal;-;* Kan også betale med Visa/MasterCard igjennom PayPal.
* PayOnDelivery fee;-;Gebyr henting 
0-100 km/h;-;0-100 km/h
100% width;-;100% bredde
A confirmation email has been sent to your email, and your storage room has been reserved. Please note that the storage room might not be final and could be changed to a different one with the same size if needed.;-;En bekreftelses epost har blitt sendt til din epost og din bod har blitt reservert. Husk at boden din kan bli endret til en annen en med samme størrelse ved utlevering.
A confirmation email has been sent to your email.;-;En bekreftelse er sendt til din e-post.
A confirmation email has been sent to your email. Enjoy your stay at {hotel}.;-;En bekreftelse er sendt til din e-post. Ha et hyggelig opphold hos {hotel}.
A red theme that can be used when selling exciting things;-;Et rødt tema kan bli brukt for å selge flotte ting.
Add a button to your page. This button can be a add to cart button, go to page button, etc;-;Legg til en knapp på websiden din. Knapper som legg i handlekurv, gå til en annen side, osv.
Add a room;-;Legg til et rom
Add another slide;-;Legg til en til slider
Add another slider;-;Legg inn til slider
Add another tab;-;Legg inn en til tab
Add content to slider;-;Innhold på slideren
Add google maps to your page, pin point locatins and restrict it to a given area, and even connect the locations to a given page.;-;Legg inn kart på websiden din, pin lokasjoner og begrens områdene for hvor du kan se, du kan til og med knytte opp lokasjoner mot andre websider.
Add menus to your page and administrate them. Menus are the root of all pages, adding a new menu entry is the same as creating a new page.;-;Legg til menyer og administrer dem. Menyer er selve roten til alle sidene, det å legge til et nytt meny entry er det samme som å opprette en ny side.
Add row below;-;Legg til en rad under
Add slides for carousel to mobile view;-;Legg til slidere som skal vises i mobil visning
Add spacing to grid;-;Legg til midlertidig spacing
Add text to your page with one of the best text editors on the web for manipulating text.;-;Legg inn tekst på websiden din med en av de beste tekst editorene for web.
Add this to the header or to the body to make a new login form, can be added anywhere on the page.;-;Legge denne i headeren eller på hoveddelen av siden for å lage en ny pålogginsområde. 
Add this to the page and you can allow your customers to search for products.;-;Legg til et produktsøk på siden din, og du gir deretter dine kunder mulighet til å søke opp dine produkter.
Add youtube vidoes to your page. Just search for the video you want to add and click add.;-;Legg inn youtube videor på websiden din. Bare søk etter den filmen du ønsker og trykk på legg til.
Additional contact data;-;Ekstra kontaktinformasjon
Address;-;Adresse
All fields are required;-;Alle felt er påkrevd
All fields are required, please fill in the fields in red.;-;Alle felt er påkrevd, vennligst fyll ut felter i rødt.
All fields are required.;-;Alle felt er påkrevd
All orders;-;Alle bestilinger
An email has been sent to you with the confirmation code.;-;En godkjennings kode er sendt til din epost.
Apartment / room;-;Apartment / rom
Application;-;Applikasjoner
Apply coupon;-;Bruk kupong
April;-;April
Attributes;-;Attributter
August;-;August
Available positions;-;Ledige plasser
Average price;-;Snitt pris
Back to page;-;Tilbake til siden
Background color inner;-;Indre bakgrundsfarge
Background color outer;-;Ytre bakgrundsfarge
Background image / styling;-;Bakgrunnsbilde / Styling
Birth Date;-;Fødselsdato
Birth date;-;Fødselsdato
Birth date has to be formatted like dd.mm.yy;-;Fødselsdato må være av format: dd.mm.åå.
Booked time periode;-;Booket tidsperiode
Booking;-;Påmelding
Bottom spacing;-;Nedre spacing
