###### 900e5f6b_4113_46ad_82df_8dafe7872c99 (CartManager) ######
Cart overview;-;Overzicht winkelwagen
Checkout;-;Afrekenen
Click next to select shipping options;-;Klik volgende om een verzendmethode te kiezen
Confirm order;-;Bestelling bevestigen
Shipping price;-;Verzendkosten
Total;-;Totaal


###### 2afb045b_fa01_4398_8582_33f212bb8db8 (Chat) ######
Chat with us;-;Chat met ons
How can I help you today ?;-;Waarmee kunnen we u van dienst zijn?
if we dont answer, please leave your email here and we will return your message asap.;-;Indien we niet antwoorden, gelieve een email te sturen. We reageren zo snel mogelijk.


###### df435931_9364_4b6a_b4b2_951c90cc0d70 (Login) ######
Enter the code sent to your email.;-;Code invoeren die u per sms is gestuurd
Login;-;Inloggen
Logout;-;Uitloggen
Lost your password?;-;Wachtwoord vergeten?
My Account;-;Mijn account
Orders;-;Bestellingen
Please enter your email address:;-;E-mailadres aub invoeren:
Please following theese steps to recover your password.;-;Volg instructies om uw wachtwoord te achterhalen
Recover password;-;Wachtwoord achterhalen
Send me a code;-;Stuur mij de code


###### 626ff5c4_60d4_4faf_ac2e_d0f21ffa9e87 (Search) ######
Search for a product;-;Product zoeken


###### framework ######
A red theme that can be used when selling exciting things;-;Een rode layout voor verkoop van interessante producten
Add to cart;-;Aan winkelwagen toevoegen
Address;-;Addres
Change password;-;Wachtwoord aanpassen
City;-;Woonplaats
Company;-;Bedrijf
Completed;-;Afgerond
Delete image;-;Verwijder afbeelding
Email;-;Email
Featured Product;-;Product in de kijker
Free shipping;-;Gratis verzending
Full name;-;Volledige naam
Name;-;Naam
New password;-;Nieuw wachtwoord
Next;-;Volgende
Password;-;Wachtwoord
Payment;-;Betaling
Phone;-;Telefoon
Place order;-;Bestelling plaatsen
Please select a shipment method.;-;Selecteer aub verzendmethode
Please select department;-;Gelieve een afdeling te kiezen
Postal code;-;Postcode
Previous;-;Vorige
Price;-;Prijs
Related products;-;Gerelateerde producten
Remove;-;Verwijderen
Repeat password;-;Wachtwoord nogmaals
Send message;-;Bericht versturen
Send us mail;-;Stuur ons een email
This page is only available for adminsitrators;-;Deze pagina is alleen voor beheerders toegangkelijk
This page is only available for editors.;-;Deze pagina is alleen voor redacteuren toegangkelijk
This page is only available for registered users.;-;Deze pagina is alleen voor geregistreerde gebruikers toegangkelijk
Update;-;Updaten
Username / Email;-;Gebruikersnaam / E-mail
Weight;-;Gewicht
What's on your mind?;-;Waar denk je aan?
You do not have any products in your cart;-;U heeft nog geen producten in de winkelwagen


###### 098bb0fe_eb51_42c6_9fbb_dadb7b52dd56 (Shipper) ######
Fixed price;-;Vaste prijs
Shipment settings;-;Verzendingsmogelijkheden


###### 32c15c30_d665_11e2_8b8b_0800200c9a66 (RealEstate) ######
Les mer;-;?


###### 96de3d91_41f2_4236_a469_cd1015b233fc (Contact) ######
My name is:;-;Mijn naam is:


###### 74ea4e90_2d5a_4290_af0c_230a66e09c78 (Booking) ######
Date;-;Datum
Sign up;-;Registreer


###### 6f3bc804_02a1_44b0_a17d_4277f0c6dee8 (Calendar) ######
April;-;April
August;-;Augustus
December;-;December
February;-;Februari
Friday;-;Vrijdag
January;-;Januari
July;-;Juli
June;-;Juni
March;-;Maart
May;-;Mei
Monday;-;Maandag
November;-;November
October;-;Oktober
Saturday;-;Zaterdag
September;-;September
Sunday;-;Zondag
Thursday;-;Donderdag
Tuesday;-;Dinsdag
We host events at the following locations, click on the location to filter the calendar by location(s);-;We organiseren events op de volgende locaties. Klik op de locatie om de kalender op locatie te filteren.
Wednesday;-;Woensdag


###### 27716a58_0749_4601_a1bc_051a43a16d14 (OrderManager) ######
All orders;-;Alle bestellingen
Cancel order;-;Bestelling afbreken
Canceled;-;Afgebroken
Customer information;-;Klanteninformatie
Order;-;Bestelling
Order Created;-;Bestelling aangemaakt
Order date;-;Besteldatum
Payment failed;-;Betaling niet gelukt
Product count;-;Aantal producten
Shipment information;-;Verzendinformatie
Shipping;-;Verzending	 
Status;-;Status
Taxes;-;BTW
Waiting for payment;-;Wachten op betaling
You do not have any orders.;-;U heeft nog geen bestellingen geplaatst


###### 7093535d_f842_4746_9256_beff0860dbdf (BreadCrumb) ######
You are here:;-;U bent hier:


###### dcd22afc_79ba_4463_bb5c_38925468ae26 (ProductManager) ######
Click here to edit the text.;-;Klik hier om de tekst te bewerken
Details;-;Details
Extended Description;-;Uitgebreide beschrijving
Other images;-;Andere afbeeldingen
in stock;-;op voorraad


###### c7736539_4523_4691_8453_a6aa1e784fc1 (PayPal) ######
Shipping cost;-;Verzendkosten
You are being transferred to paypal, please wait...;-;Je wordt doorgestuurd naar Paypal, even geduld…


###### 6c245631_effb_4fe2_abf7_f44c57cb6c5b (Account) ######
Application;-;Applicatie 
Birth Date;-;Geboortedatum
Cell phone;-;Mobiel
End date;-;Einddatum
Group;-;Groep
Number of instances added;-;Aantal zaken toegevoegd
Old password;-;oude wachtwoord
Organisation name;-;Bedrijfsnaam
Price and plans;-;Prijs en pakketten
Register;-;Aanmelden
Set new password;-;Nieuw wachtwoord vastleggen
Start date;-;Start datum
Your personal information;-;Uw persoonlijke informatie


