Payment failed;-;Betaling feilet
Something went wrong during the transaction, please try again;-;Noe gikk galt under betalingen, prøv igjen
Cancel booking;-;Avbryt
Try again;-;Prøv igjen
Verify your self!;-;Identifiser deg!
Password;-;Passord
Settings;-;Instillinger
Multilevel name;-;Multilevel name
Terminal id;-;Terminal id
Save;-;Lagre
Processing payment;-;Prosesserer betalingen
Total amount;-;Totalt beløp
Cancel payment;-;Kanseler betalingen
Enter reference code or phonenumber;-;Skriv inn din referansekode eller mobilnr
Search;-;Søk
Cancel;-;Avbryt
Discount code;-;Rabattkode
Booking not found, please try again.;-;Fant ikke din bestilling, prøv igjen
Please select;-;Vennligst velg
Already booked?;-;Allerede bestillt?
Book room;-;Bestill rom
Book camping;-;Bestill campingplass
Who are you?;-;Hvem er du?
Your name;-;Ditt navn
Email;-;Din epost
Phonenumber;-;Ditt telefonnr
Checkout;-;Check ut
Start payment;-;Start betaling
Select your room;-;Velg ditt rom
Checkout date;-;Utsjekk dato
Change checkout date;-;Bytt utsjekk dato
Sorry, we dont have any available rooms;-;Beklager, vi har ikke flere rom tilgjengelige
Continue;-;Fortsett
Select;-;Velg
Sold out;-;Utsolgt
Please select your checkout date;-;Vennligst velg utsjekksdato
Tap textfield if calender is not showing;-;Trykk på feltet hvis kalenderen ikke vises
Next;-;Neste
Guest Count;-;Antall gjester
Price;-;Pris
Total;-;Totalt
Add more rooms;-;Legg til flere rom
Welcome;-;Velkommen
Your room is clean and ready to be used, a code for your room has been sent to you by email and sms, if you have not recieved a code, please call us at {phone};-;Ditt rom er rent og klart til bruk, en kode for rommet har blitt sendt til deg på sms og epost. Hvis du ikke har mottatt en kode, ring oss på telefon {phone}.
Your room is not yet cleaned, you will receive code by sms and email as soon as it is ready;-;Ditt rom er ikke rengjort enda, du vil motta en sms og epost så snart rommet er klart
Check-in time is all good;-;Tiden er etter tidligst innsjekktidspunkt
You are a bit early, we will send you a sms and email as soon as the room is ready;-;Du er litt tidlig, vi sender deg en epost og sms snart rommet er klart
Your room is already paid;-;Rommet ditt er allerede betalt
You have to pay for your stay before we can give you access.;-;Du må betal for rommet før du kan få tilgang
Room;-;Rom
book or pay your stay here;-;Bestill eller betal for rommet ditt her
System delivered by;-;System levert av
Payment succesfully completed;-;Betalingen var vellykket
If you are waiting for an accesscode it will be printed on the receipt if your room is ready, otherwise you will receive the code by SMS and Email when its ready.;-;Hvis rommet ditt er klart så vil koden bli skrivet ut på kvitteringen, hvis ikke vil vi sende en SMS og Epost så snart rommet ditt er klart. Du kan også sjekke statusen ved å skrive inn ditt referansenr på allerede bestillt funksjonen.
Got it!;-;Ok
Please select your campingspot;-;Vennligst velg din campingplass i listen under.
Campingspot;-;Campingplass
